Mod:Item:MetaData, Localized Name
extratrees:leaves.decorative.1:2, Leaves
extratrees:leaves.decorative.1:3, Leaves
extratrees:leaves.decorative.1:4, Leaves
extratrees:leaves.decorative.1:5, Leaves
extratrees:leaves.decorative.1:6, Leaves
extratrees:leaves.decorative.1:7, Leaves
extratrees:leaves.decorative.1:8, Leaves
extratrees:leaves.decorative.1:9, Leaves
extratrees:leaves.decorative.1:10, Leaves
extratrees:leaves.decorative.1:11, Leaves
extratrees:leaves.decorative.1:12, Leaves
extratrees:leaves.decorative.1:13, Leaves
extratrees:leaves.decorative.1:14, Leaves
extratrees:leaves.decorative.1:15, Leaves
extratrees:leaves.decorative.2:0, Leaves
extratrees:leaves.decorative.2:1, Leaves
extratrees:leaves.decorative.2:2, Leaves
extratrees:leaves.decorative.2:3, Leaves
extratrees:leaves.decorative.2:4, Leaves
extratrees:leaves.decorative.2:5, Leaves
extratrees:leaves.decorative.2:6, Leaves
extratrees:leaves.decorative.2:7, Leaves
extratrees:leaves.decorative.2:8, Leaves
extratrees:leaves.decorative.2:9, Leaves
extratrees:leaves.decorative.2:10, Leaves
extratrees:leaves.decorative.2:11, Leaves
extratrees:leaves.decorative.2:12, Leaves
extratrees:leaves.decorative.2:13, Leaves
extratrees:leaves.decorative.2:14, Leaves
extratrees:leaves.decorative.2:15, Leaves
extratrees:leaves.decorative.3:0, Leaves
extratrees:leaves.decorative.3:1, Leaves
extratrees:leaves.decorative.3:2, Leaves
extratrees:leaves.decorative.3:3, Leaves
extratrees:leaves.decorative.3:4, Leaves
extratrees:leaves.decorative.3:5, Leaves
extratrees:leaves.decorative.3:6, Leaves
extratrees:leaves.decorative.3:7, Leaves
extratrees:leaves.decorative.3:8, Leaves
extratrees:leaves.decorative.3:9, Leaves
extratrees:leaves.decorative.3:10, Leaves
extratrees:leaves.decorative.3:11, Leaves
extratrees:leaves.decorative.3:12, Leaves
extratrees:leaves.decorative.3:13, Leaves
extratrees:leaves.decorative.3:14, Leaves
extratrees:leaves.decorative.3:15, Leaves
extratrees:leaves.decorative.4:0, Leaves
extratrees:leaves.decorative.4:1, Leaves
extratrees:leaves.decorative.4:2, Leaves
extratrees:leaves.decorative.4:3, Leaves
extratrees:leaves.decorative.4:4, Leaves
extratrees:leaves.decorative.4:5, Leaves
extratrees:leaves.decorative.4:6, Leaves
extratrees:leaves.decorative.4:7, Leaves
extratrees:leaves.decorative.4:8, Leaves
extratrees:leaves.decorative.4:9, Leaves
extratrees:leaves.decorative.4:10, Leaves
extratrees:leaves.decorative.4:11, Leaves
extratrees:leaves.decorative.4:12, Leaves
extratrees:leaves.decorative.4:13, Leaves
extratrees:leaves.decorative.4:14, Leaves
extratrees:leaves.decorative.4:15, Leaves
extratrees:leaves.decorative.5:0, Leaves
extratrees:leaves.decorative.5:1, Leaves
extratrees:leaves.decorative.5:2, Leaves
extratrees:leaves.decorative.5:3, Leaves
extratrees:leaves.decorative.5:4, Leaves
extratrees:leaves.decorative.5:5, Leaves
extratrees:leaves.decorative.5:6, Leaves
extratrees:leaves.decorative.5:7, Leaves
extratrees:leaves.decorative.5:8, Leaves
extratrees:leaves.decorative.5:9, Leaves
extratrees:leaves.decorative.5:10, Leaves
extratrees:leaves.decorative.5:11, Leaves
extratrees:leaves.decorative.5:12, Leaves
extratrees:leaves.decorative.5:13, Leaves
extratrees:leaves.decorative.5:14, Leaves
extratrees:leaves.decorative.5:15, Leaves
extratrees:leaves.decorative.6:0, Leaves
extratrees:shrub_log:0, Shrub Wood
extratrees:databaselepi, item.databaseLepi.name
extratrees:binnie.juice.apple, Apple Juice
extratrees:binnie.juice.apricot, Apricot Juice
extratrees:binnie.juice.banana, Banana Juice
extratrees:binnie.juice.cherry, Cherry Juice
extratrees:binnie.juice.elderberry, Elderberry Juice
extratrees:binnie.juice.lemon, Lemon Juice
extratrees:binnie.juice.lime, Lime Juice
extratrees:binnie.juice.orange, Orange Juice
extratrees:binnie.juice.peach, Peach Juice
extratrees:binnie.juice.plum, Plum Juice
extratrees:binnie.juice.carrot, Carrot Juice
extratrees:binnie.juice.tomato, Tomato Juice
extratrees:binnie.juice.cranberry, Cranberry Juice
extratrees:binnie.juice.grapefruit, Grapefruit Juice
extratrees:binnie.juice.olive, Olive Oil
extratrees:binnie.juice.pineapple, Pineapple Juice
extratrees:binnie.juice.pear, Pear Juice
extratrees:binnie.juice.white.grape, White Grape Juice
extratrees:binnie.juice.red.grape, Red Grape Juice
extratrees:binnie.cider.apple, Cider
extratrees:binnie.wine.apricot, Apricot Wine
extratrees:binnie.wine.banana, Banana Wine
extratrees:binnie.wine.cherry, Cherry Wine
extratrees:binnie.wine.elderberry, Elderberry Wine
extratrees:binnie.cider.peach, Peach Cider
extratrees:binnie.ciderpear, Pear Cider
extratrees:binnie.wine.plum, Plum Wine
extratrees:binnie.wine.carrot, Carrot Wine
extratrees:binnie.wine.white, White Wine
extratrees:binnie.wine.red, Red Wine
extratrees:binnie.wine.sparkling, Sparkling Wine
extratrees:binnie.wine.agave, Agave Wine
extratrees:binnie.fermented.potatoes, Fermented Potatoes
extratrees:binnie.wine.citrus, Citrus Wine
extratrees:binnie.wine.cranberry, Cranberry Wine
extratrees:binnie.wine.pineapple, Pineapple Wine
extratrees:binnie.wine.tomato, Tomato Wine
extratrees:binnie.juice, Fruit Wine
extratrees:binnie.beer.ale, Ale
extratrees:binnie.beer.lager, Lager
extratrees:binnie.beer.wheat, Wheat Beer
extratrees:binnie.beer.rye, Rye Beer
extratrees:binnie.beer.corn, Corn Beer
extratrees:binnie.beer.stout, Stout
extratrees:binnie.mash.grain, Fermented Grain Mash
extratrees:binnie.mash.wheat, Fermented Wheat Mash
extratrees:binnie.mash.rye, Fermented Rye Mash
extratrees:binnie.mash.corn, Fermented Corn Mash
extratrees:binnie.spirit.neutral, Neutral Spirit
extratrees:binnie.vodka, Vodka
extratrees:binnie.rum.white, White Rum
extratrees:binnie.rum.dark, Dark Rum
extratrees:binnie.whiskey, Whiskey
extratrees:binnie.whiskey.corn, Bourbon
extratrees:binnie.whiskey.rye, Rye Whiskey
extratrees:binnie.whiskey.wheat, Wheat Whiskey
extratrees:binnie.wine.fortified, Fortified Wine
extratrees:binnie.tequila, Tequila
extratrees:binnie.brandy.grape, Brandy
extratrees:binnie.brandy.apple, Apple Brandy
extratrees:binnie.brandy.pear, Pear Brandy
extratrees:binnie.brandy.apricot, Apricot Brandy
extratrees:binnie.brandy.plum, Plum Brandy
extratrees:binnie.brandy.cherry, Cherry Brandy
extratrees:binnie.brandy.elderberry, Elderberry Brandy
extratrees:binnie.brandy.citrus, Citrus Brandy
extratrees:binnie.brandy.fruit, Fruit Brandy
extratrees:binnie.spirit.sugarcane, Cachaca
extratrees:binnie.spirit.gin, Gin
extratrees:binnie.liquor.apple, Apple Liquor
extratrees:binnie.liquor.pear, Pear Liquor
extratrees:binnie.liquor.cherry, Cherry Liquor
extratrees:binnie.liquor.elderberry, Elderberry Liquor
extratrees:binnie.liquor.apricot, Apricot Liquor
extratrees:binnie.liquor.fruit, Fruit Liquor
extratrees:binnie.liqueur.almond, Almond Liqueur
extratrees:binnie.liqueur.orange, Orange Liqueur
extratrees:binnie.liqueur.banana, Banana Liqueur
extratrees:binnie.liqueur.chocolate, Chocolate Liqueur
extratrees:binnie.liqueur.mint, Mint Liqueur
extratrees:binnie.liqueur.hazelnut, Hazelnut Liqueur
extratrees:binnie.liqueur.cinnamon, Cinnamon Liqueur
extratrees:binnie.liqueur.coffee, Coffee Liqueur
extratrees:binnie.liqueur.melon, Melon Liqueur
extratrees:binnie.liqueur.anise, Anise Liqueur
extratrees:binnie.liqueur.peach, Peach Liqueur
extratrees:binnie.liqueur.lemon, Lemon Liqueur
extratrees:binnie.liqueur.herbal, Herbal Liqueur
extratrees:binnie.liqueur.cherry, Cherry Liqueur
extratrees:binnie.liqueur.blackcurrant, Blackcurrant Liqueur
extratrees:binnie.liqueur.blackberry, Blackberry Liqueur
extratrees:binnie.liqueur.raspberry, Raspberry Liqueur
hammercore:iron_bordered_cobblestone, Iron-Bordered Cobblestone
hammercore:gold_bordered_cobblestone, Gold-Bordered Cobblestone
hammercore:diamond_bordered_cobblestone, Diamond-Bordered Cobblestone
hammercore:emerald_bordered_cobblestone, Emerald-Bordered Cobblestone
hammercore:quartz_bordered_cobblestone, Quartz-Bordered Cobblestone
hammercore:manual, Hammer Core Manual
cableflux:fec_1, First Cable
cableflux:fec_2, Second Cable
cableflux:fec_3, The Last Cable
railcraft:tool_crowbar_iron, Iron Crowbar
railcraft:tool_crowbar_steel, Steel Crowbar
railcraft:tool_axe_steel, Steel Axe
railcraft:tool_hoe_steel, Steel Hoe
railcraft:tool_pickaxe_steel, Steel Pickaxe
railcraft:tool_shears_steel, Steel Shears
railcraft:tool_shovel_steel, Steel Shovel
railcraft:tool_sword_steel, Steel Sword
railcraft:armor_helmet_steel, Steel Helmet
railcraft:armor_chestplate_steel, Steel Chestplate
railcraft:armor_leggings_steel, Steel Leggings
railcraft:armor_boots_steel, Steel Boots
railcraft:tool_magnifying_glass, Magnifying Glass
railcraft:armor_goggles, Trackman's Goggles
railcraft:armor_overalls, Engineer's Overalls
railcraft:tool_notepad, Trackman's Notepad
railcraft:rail:0, Standard Rail
railcraft:rail:1, Advanced Rail
railcraft:rail:2, Wooden Rail
railcraft:rail:3, H.S. Rail
railcraft:rail:4, Reinforced Rail
railcraft:rail:5, Electric Rail
railcraft:tie:0, Wooden Tie
railcraft:tie:1, Stone Tie
railcraft:rebar, Rebar
railcraft:cart_spawner:0, Spawner Cart
railcraft:creosote, Creosote
railcraft:steam, Steam
railcraft:detector:0, Cart Detector - Item
railcraft:detector:1, Cart Detector - Any
railcraft:detector:2, Cart Detector - Empty
railcraft:detector:3, Cart Detector - Mob
railcraft:detector:4, Cart Detector - Player
railcraft:detector:5, Cart Detector - Animal
railcraft:detector:6, Cart Detector - Tank
railcraft:detector:7, Cart Detector - Advanced
railcraft:detector:8, Cart Detector - Age
railcraft:detector:9, Cart Detector - Train
railcraft:detector:10, Cart Detector - Sheep
railcraft:detector:11, Cart Detector - Villager
railcraft:detector:12, Cart Detector - Locomotive
railcraft:detector:13, Cart Detector - Routing
railcraft:manipulator:0, Item Loader
railcraft:manipulator:1, Item Unloader
railcraft:manipulator:2, Adv. Item Loader
railcraft:manipulator:3, Adv. Item Unloader
railcraft:manipulator:4, Fluid Loader
railcraft:manipulator:5, Fluid Unloader
railcraft:manipulator:6, IC2 EU Loader
railcraft:manipulator:7, IC2 EU Unloader
railcraft:manipulator:10, Redstone Flux Loader
railcraft:manipulator:11, Redstone Flux Unloader
railcraft:manipulator:8, Cart Dispenser
railcraft:manipulator:9, Train Dispenser
railcraft:equipment:0, Manual Rolling Machine
railcraft:equipment:1, Powered Rolling Machine
railcraft:equipment:2, Feed Station
railcraft:equipment:3, Smoker
railcraft:trade_station, Trade Station
railcraft:force_track_emitter, Force Track Emitter
railcraft:track_force, tile.railcraft.track.force.name
railcraft:filter_blank, Blank Filter
railcraft:filter_type, Item Type Filter
railcraft:filter_ore_dict, Ore Dictionary Filter
railcraft:bore:0, Tunnel Bore
railcraft:borehead_bronze, Bronze Bore Head
railcraft:borehead_iron, Iron Bore Head
railcraft:borehead_steel, Steel Bore Head
railcraft:borehead_diamond, Diamond Bore Head
railcraft:mow_track_layer:0, Track Layer Cart
railcraft:mow_track_relayer:0, Track Relayer Cart
railcraft:mow_track_remover:0, Track Remover Cart
railcraft:mow_undercutter:0, Undercutter Cart
railcraft:cart_trade_station:0, Trade Station Cart
railcraft:cart_work:0, Work Cart
railcraft:cart_jukebox:0, Jukebox Cart
railcraft:cart_bed:0, Bed Cart
railcraft:battery_nickel_iron, Nickel-Iron Battery
railcraft:battery_nickel_zinc, Nickel-Zinc Battery
railcraft:battery_zinc_carbon, Zinc-Carbon Battery
railcraft:battery_zinc_carbon_empty, Expended Zinc-Carbon Battery
railcraft:battery_zinc_silver, Zinc-Silver Battery
railcraft:battery_zinc_silver_empty, Expended Zinc-Silver Battery
railcraft:charge_feeder:0, IC2 Charge Feeder Unit
railcraft:charge_feeder:1, Admin Charge Feeder Unit
railcraft:charge_trap, Charge Trap
railcraft:frame, Wire Support Frame
railcraft:steam_turbine, Steam Turbine Housing
railcraft:wire, Charge Shunting Wire
railcraft:charge:0, Charge Coil
railcraft:charge:1, Charge Terminal
railcraft:charge:2, Small Charge Wire Spool
railcraft:charge:3, Medium Charge Wire Spool
railcraft:charge:4, Large Charge Wire Spool
railcraft:charge:5, Charge Motor
railcraft:charge:6, Nickel Electrode
railcraft:charge:7, Iron Electrode
railcraft:charge:8, Zinc Electrode
railcraft:charge:9, Carbon Electrode
railcraft:charge:10, Silver Electrode
railcraft:tool_charge_meter, Charge Meter
railcraft:turbine_blade, Turbine Blade
railcraft:turbine_disk, Turbine Disk
railcraft:turbine_rotor, Turbine Rotor
railcraft:anvil:0, Steel Anvil
railcraft:anvil:1, Slightly Damaged Steel Anvil
railcraft:anvil:2, Very Damaged Steel Anvil
railcraft:fuel_coke, Coal Coke
railcraft:coke_block, Block of Coal Coke
railcraft:coke_oven, Coke Oven Brick
railcraft:coke_oven_red, Red Coke Oven Brick
railcraft:blast_furnace, Blast Furnace Brick
railcraft:rock_crusher, Rock Crusher
railcraft:steam_oven, Steam Oven
railcraft:chest_metals, Metals Chest
railcraft:cart_chest_metals:0, Metals Chest Cart
railcraft:filter_bee, Bee Filter
railcraft:filter_bee_genome, Bee Genome Filter
railcraft:backpack_apothecary_t1, Apothecary's Backpack
railcraft:backpack_apothecary_t2, Woven Apothecary's Backpack
railcraft:backpack_iceman_t1, Iceman's Backpack
railcraft:backpack_iceman_t2, Woven Iceman's Backpack
railcraft:backpack_trackman_t1, Trackman's Backpack
railcraft:backpack_trackman_t2, Woven Trackman's Backpack
railcraft:backpack_signalman_t1, item.railcraft.backpack.signalman.t1.name
railcraft:backpack_signalman_t2, item.railcraft.backpack.signalman.t2.name
railcraft:cart_ic2_batbox:0, Batbox Cart
railcraft:cart_ic2_mfe:0, MFE Cart
railcraft:cart_ic2_cesu:0, CESU Cart
railcraft:cart_ic2_mfsu:0, MFSU Cart
railcraft:firestone_cracked, Cracked Firestone
railcraft:firestone_cut, Cut Firestone
railcraft:firestone_raw, Raw Firestone
railcraft:firestone_refined, Refined Firestone
railcraft:cart_redstone_flux:0, Redstone Flux Cart
railcraft:flux_transformer, Flux Transformer
railcraft:metal:0, Block of Copper
railcraft:metal:1, Block of Tin
railcraft:metal:2, Block of Lead
railcraft:metal:4, Block of Silver
railcraft:metal:3, Block of Steel
railcraft:metal:5, Block of Bronze
railcraft:metal:6, Block of Nickel
railcraft:metal:7, Block of Invar
railcraft:metal:8, Block of Zinc
railcraft:metal:9, Block of Brass
railcraft:fluid_bottle_creosote, Creosote Bottle
railcraft:fluid_bottle_steam, Steam Bottle
railcraft:nugget:0, Steel Nugget
railcraft:nugget:1, Copper Nugget
railcraft:nugget:2, Tin Nugget
railcraft:nugget:3, Lead Nugget
railcraft:nugget:4, Silver Nugget
railcraft:nugget:5, Bronze Nugget
railcraft:nugget:6, Nickel Nugget
railcraft:nugget:7, Invar Nugget
railcraft:nugget:8, Zinc Nugget
railcraft:nugget:9, Brass Nugget
railcraft:ingot:0, Steel Ingot
railcraft:ingot:1, Copper Ingot
railcraft:ingot:2, Tin Ingot
railcraft:ingot:3, Lead Ingot
railcraft:ingot:4, Silver Ingot
railcraft:ingot:5, Bronze Ingot
railcraft:ingot:6, Nickel Ingot
railcraft:ingot:7, Invar Ingot
railcraft:ingot:8, Zinc Ingot
railcraft:ingot:9, Brass Ingot
railcraft:gear:0, Brass Gear
railcraft:gear:1, Iron Gear
railcraft:gear:2, Steel Gear
railcraft:gear:3, Gear Bushing
railcraft:gear:4, Bronze Gear
railcraft:gear:5, Invar Gear
railcraft:plate:0, Iron Plate
railcraft:plate:1, Steel Plate
railcraft:plate:2, Tin Plate
railcraft:plate:3, Copper Plate
railcraft:plate:4, Lead Plate
railcraft:plate:5, Silver Plate
railcraft:plate:6, Bronze Plate
railcraft:plate:7, Gold Plate
railcraft:plate:8, Nickel Plate
railcraft:plate:9, Invar Plate
railcraft:plate:10, Zinc Plate
railcraft:plate:11, Brass Plate
railcraft:dust:0, Obsidian Dust
railcraft:dust:1, Sulfur
railcraft:dust:2, Saltpeter
railcraft:dust:3, Charcoal Dust
railcraft:dust:4, Granulated Slag
railcraft:dust:5, Coal Dust
railcraft:dust:6, Ender Powder
railcraft:dust:7, Void Powder
railcraft:tool_crowbar_seasons, Crowbar of Seasons
railcraft:cart_pumpkin:0, Pumpkin Cart
railcraft:cart_gift:0, Gift Cart
railcraft:signal:0, Block Signal
railcraft:signal:1, Distant Signal
railcraft:signal:2, Token Signal
railcraft:signal_dual:0, Dual-Head Block Signal
railcraft:signal_dual:1, Dual-Head Distant Signal
railcraft:signal_dual:2, Dual-Head Token Signal
railcraft:signal_box:2, Signal Controller Box
railcraft:signal_box:4, Signal Receiver Box
railcraft:signal_box:0, Analog Signal Controller Box
railcraft:signal_box:1, Signal Capacitor Box
railcraft:signal_box:3, Signal Interlock Box
railcraft:signal_box:6, Signal Sequencer Box
railcraft:signal_box:5, Signal Block Relay Box
railcraft:tool_signal_surveyor:0, Signal Surveyor
railcraft:tool_signal_tuner:0, Signal Tuner
railcraft:signal_lamp, Signal Lamp
railcraft:tool_signal_label, Signal Label
railcraft:circuit:0, Controller Circuit
railcraft:circuit:1, Receiver Circuit
railcraft:circuit:2, Signal Circuit
railcraft:circuit:3, Radio Circuit
railcraft:engine_steam_hobby, Hobbyist's Steam Engine
railcraft:engine_steam_low, Commercial Steam Engine
railcraft:engine_steam_high, Industrial Steam Engine
railcraft:admin_steam_producer, Admin Steam Producer
railcraft:boiler_firebox_fluid, Fluid Fueled Boiler Firebox
railcraft:boiler_firebox_solid, Solid Fueled Boiler Firebox
railcraft:boiler_tank_pressure_high, High Pressure Boiler Tank
railcraft:boiler_tank_pressure_low, Low Pressure Boiler Tank
railcraft:track_kit:1, Activator Track Kit§r
railcraft:track_kit:2, Booster Track Kit§r
railcraft:track_kit:3, Buffer Stop Track Kit§r
railcraft:track_kit:4, Control Track Kit§r
railcraft:track_kit:5, Detector Track Kit§r
railcraft:track_kit:6, Disembarking Track Kit§r
railcraft:track_kit:7, Dumping Track Kit§r
railcraft:track_kit:8, Embarking Track Kit§r
railcraft:track_kit:9, Gated Track Kit§r
railcraft:track_kit:10, Locking Track Kit§r
railcraft:track_kit:11, One-Way Track Kit§r
railcraft:track_kit:15, Messenger Track Kit§r
railcraft:track_kit:16, Delayed Locking Track Kit§r
railcraft:track_kit:17, Priming Track Kit§r
railcraft:track_kit:18, Launcher Track Kit§r
railcraft:track_kit:19, Whistle Track Kit§r
railcraft:track_kit:20, Locomotive Track Kit§r
railcraft:track_kit:21, Throttle Track Kit§r
railcraft:track_kit:22, Routing Track Kit§r
railcraft:track_kit:23, Transition Track Kit§r
railcraft:track_kit:24, Coupler Track Kit§r
railcraft:tool_spike_maul_iron, Iron Spike Maul
railcraft:tool_spike_maul_steel, Steel Spike Maul
railcraft:railbed:0, Wooden Railbed
railcraft:railbed:1, Stone Railbed
railcraft:track_parts, Track Parts
railcraft:actuator:0, Switch Actuator Lever
railcraft:actuator:1, Switch Actuator Motor
railcraft:actuator:2, Routing Switch Actuator Motor
railcraft:cart_tnt_wood:0, Wooden TNT Cart
railcraft:track_elevator, Elevator Track
railcraft:logbook, Logbook
railcraft:tool_whistle_tuner, Whistle Tuner
railcraft:routing_table, Routing Table
railcraft:routing_ticket, Railway Ticket
railcraft:routing_ticket_gold, Golden Railway Ticket
railcraft:track_flex_abandoned, Abandoned Track
railcraft:track_flex_electric, Electric Track
railcraft:track_flex_high_speed, High Speed Track
railcraft:track_flex_hs_electric, High Speed Electric Track
railcraft:track_flex_reinforced, Reinforced Track
railcraft:track_flex_strap_iron, Strap Iron Track
railcraft:cart_cargo:0, Cargo Cart
railcraft:cart_tank:0, Tank Cart
railcraft:tank_iron_valve:0, Iron Tank Valve
railcraft:tank_iron_valve:1, Iron Tank Valve
railcraft:tank_iron_valve:2, Iron Tank Valve
railcraft:tank_iron_valve:3, Iron Tank Valve
railcraft:tank_iron_valve:4, Iron Tank Valve
railcraft:tank_iron_valve:5, Iron Tank Valve
railcraft:tank_iron_valve:6, Iron Tank Valve
railcraft:tank_iron_valve:7, Iron Tank Valve
railcraft:tank_iron_valve:8, Iron Tank Valve
railcraft:tank_iron_valve:9, Iron Tank Valve
railcraft:tank_iron_valve:10, Iron Tank Valve
railcraft:tank_iron_valve:11, Iron Tank Valve
railcraft:tank_iron_valve:12, Iron Tank Valve
railcraft:tank_iron_valve:13, Iron Tank Valve
railcraft:tank_iron_valve:14, Iron Tank Valve
railcraft:tank_iron_valve:15, Iron Tank Valve
railcraft:tank_iron_wall:0, Iron Tank Wall
railcraft:tank_iron_wall:1, Iron Tank Wall
railcraft:tank_iron_wall:2, Iron Tank Wall
railcraft:tank_iron_wall:3, Iron Tank Wall
railcraft:tank_iron_wall:4, Iron Tank Wall
railcraft:tank_iron_wall:5, Iron Tank Wall
railcraft:tank_iron_wall:6, Iron Tank Wall
railcraft:tank_iron_wall:7, Iron Tank Wall
railcraft:tank_iron_wall:8, Iron Tank Wall
railcraft:tank_iron_wall:9, Iron Tank Wall
railcraft:tank_iron_wall:10, Iron Tank Wall
railcraft:tank_iron_wall:11, Iron Tank Wall
railcraft:tank_iron_wall:12, Iron Tank Wall
railcraft:tank_iron_wall:13, Iron Tank Wall
railcraft:tank_iron_wall:14, Iron Tank Wall
railcraft:tank_iron_wall:15, Iron Tank Wall
railcraft:tank_steel_valve:0, Steel Tank Valve
railcraft:tank_steel_valve:1, Steel Tank Valve
railcraft:tank_steel_valve:2, Steel Tank Valve
railcraft:tank_steel_valve:3, Steel Tank Valve
railcraft:tank_steel_valve:4, Steel Tank Valve
railcraft:tank_steel_valve:5, Steel Tank Valve
railcraft:tank_steel_valve:6, Steel Tank Valve
railcraft:tank_steel_valve:7, Steel Tank Valve
railcraft:tank_steel_valve:8, Steel Tank Valve
railcraft:tank_steel_valve:9, Steel Tank Valve
railcraft:tank_steel_valve:10, Steel Tank Valve
railcraft:tank_steel_valve:11, Steel Tank Valve
railcraft:tank_steel_valve:12, Steel Tank Valve
railcraft:tank_steel_valve:13, Steel Tank Valve
railcraft:tank_steel_valve:14, Steel Tank Valve
railcraft:tank_steel_valve:15, Steel Tank Valve
railcraft:tank_steel_wall:0, Steel Tank Wall
railcraft:tank_steel_wall:1, Steel Tank Wall
railcraft:tank_steel_wall:2, Steel Tank Wall
railcraft:tank_steel_wall:3, Steel Tank Wall
railcraft:tank_steel_wall:4, Steel Tank Wall
railcraft:tank_steel_wall:5, Steel Tank Wall
railcraft:tank_steel_wall:6, Steel Tank Wall
railcraft:tank_steel_wall:7, Steel Tank Wall
railcraft:tank_steel_wall:8, Steel Tank Wall
railcraft:tank_steel_wall:9, Steel Tank Wall
railcraft:tank_steel_wall:10, Steel Tank Wall
railcraft:tank_steel_wall:11, Steel Tank Wall
railcraft:tank_steel_wall:12, Steel Tank Wall
railcraft:tank_steel_wall:13, Steel Tank Wall
railcraft:tank_steel_wall:14, Steel Tank Wall
railcraft:tank_steel_wall:15, Steel Tank Wall
railcraft:tank_water, Water Tank Siding
railcraft:chest_void, Void Chest
railcraft:cart_chest_void:0, Void Chest Cart
railcraft:abyssal_stone, Abyssal Stone
railcraft:jaded_stone, Jaded Stone
railcraft:quarried_stone, Quarried Stone
railcraft:generic:7, Crushed Obsidian
railcraft:ore:0, Sulfur Ore
railcraft:ore:1, Saltpeter Ore
railcraft:ore:2, Dark Diamond Ore
railcraft:ore:3, Dark Emerald Ore
railcraft:ore:4, Dark Lapis Lazuli Ore
railcraft:ore_metal:0, Copper Ore
railcraft:ore_metal:1, Tin Ore
railcraft:ore_metal:2, Lead Ore
railcraft:ore_metal:3, Silver Ore
railcraft:ore_metal:4, Nickel Ore
railcraft:ore_metal:5, Zinc Ore
railcraft:ore_metal_poor:0, Poor Iron Ore
railcraft:ore_metal_poor:1, Poor Gold Ore
railcraft:ore_metal_poor:2, Poor Copper Ore
railcraft:ore_metal_poor:3, Poor Tin Ore
railcraft:ore_metal_poor:4, Poor Lead Ore
railcraft:ore_metal_poor:5, Poor Silver Ore
railcraft:ore_metal_poor:6, Poor Nickel Ore
railcraft:ore_metal_poor:7, Poor Zinc Ore
railcraft:ore_magic:0, tile.railcraft.ore.magic.name
railcraft:worldlogic, Saltpeter Ore Spawner
railcraft:abyssal:0, Abyssal Stone Paver
railcraft:abyssal:1, Abyssal Stone Brick
railcraft:abyssal:2, Polished Abyssal Stone
railcraft:abyssal:3, Chiseled Abyssal Stone
railcraft:abyssal:4, Etched Abyssal Stone
railcraft:abyssal:5, Abyssal Cobblestone
railcraft:bleachedbone:0, Bleached Bone Stone Paver
railcraft:bleachedbone:1, Bleached Bone Stone Brick
railcraft:bleachedbone:2, Polished Bleached Bone Stone
railcraft:bleachedbone:3, Chiseled Bleached Bone Stone
railcraft:bleachedbone:4, Etched Bleached Bone Stone
railcraft:bleachedbone:5, Bleached Bone Cobblestone
railcraft:bloodstained:0, Blood Stained Stone Paver
railcraft:bloodstained:1, Blood Stained Stone Brick
railcraft:bloodstained:2, Polished Blood Stained Stone
railcraft:bloodstained:3, Chiseled Blood Stained Stone
railcraft:bloodstained:4, Etched Blood Stained Stone
railcraft:bloodstained:5, Blood Stained Cobblestone
railcraft:frostbound:0, Frost Bound Stone Paver
railcraft:frostbound:1, Frost Bound Stone Brick
railcraft:frostbound:2, Polished Frost Bound Stone
railcraft:frostbound:3, Chiseled Frost Bound Stone
railcraft:frostbound:4, Etched Frost Bound Stone
railcraft:frostbound:5, Frost Bound Cobblestone
railcraft:infernal:0, Infernal Stone Paver
railcraft:infernal:1, Infernal Stone Brick
railcraft:infernal:2, Polished Infernal Stone
railcraft:infernal:3, Chiseled Infernal Stone
railcraft:infernal:4, Etched Infernal Stone
railcraft:infernal:5, Infernal Cobblestone
railcraft:jaded:0, Jaded Stone Paver
railcraft:jaded:1, Jaded Stone Brick
railcraft:jaded:2, Polished Jaded Stone
railcraft:jaded:3, Chiseled Jaded Stone
railcraft:jaded:4, Etched Jaded Stone
railcraft:jaded:5, Jaded Cobblestone
railcraft:quarried:0, Quarried Paver
railcraft:quarried:1, Quarried Brick
railcraft:quarried:2, Polished Quarried Stone
railcraft:quarried:3, Chiseled Quarried Stone
railcraft:quarried:4, Etched Quarried Stone
railcraft:quarried:5, Quarried Cobblestone
railcraft:sandy:0, Sandy Stone Paver
railcraft:sandy:1, Sandy Stone Brick
railcraft:sandy:2, Polished Sandy Stone
railcraft:sandy:3, Chiseled Sandy Stone
railcraft:sandy:4, Etched Sandy Stone
railcraft:sandy:5, Sandy Cobblestone
railcraft:badlands:0, Badlands Stone Paver
railcraft:badlands:1, Badlands Stone Brick
railcraft:badlands:2, Polished Badlands Stone
railcraft:badlands:3, Chiseled Badlands Stone
railcraft:badlands:4, Etched Badlands Stone
railcraft:badlands:5, Badlands Cobblestone
railcraft:nether:0, Nether Brick
railcraft:nether:1, Fitted Nether Brick
railcraft:nether:2, Polished Nether Stone
railcraft:nether:3, Chiseled Nether Stone
railcraft:nether:4, Etched Nether Stone
railcraft:nether:5, Nether Cobblestone
railcraft:red_nether:0, Red Nether Brick
railcraft:red_nether:1, Red Nether Brick
railcraft:red_nether:2, Polished Red Nether Stone
railcraft:red_nether:3, Chiseled Red Nether Stone
railcraft:red_nether:4, Etched Red Nether Stone
railcraft:red_nether:5, Red Nether Cobblestone
railcraft:andesite:0, Andesite Paver
railcraft:andesite:1, Andesite Brick
